Link,Title,Image,Price,Rating,Wish_count
https://rozetka.com.ua/ua/infinix-note-40-8-256gb-obsidian-black/p424932888/,Мобільний телефон Infinix Note 40 8/256GB Obsidian Black,https://xl-static.rozetka.com.ua/assets/img/design/stubs/goods-stub.svg,8999,4.6,913
https://rozetka.com.ua/ua/apple-myx23sx-a/p448428635/,Мобільний телефон Apple iPhone 16 Pro Max 512GB Desert Titanium (MYX23SX/A),https://xl-static.rozetka.com.ua/assets/img/design/stubs/goods-stub.svg,80999,4.8,448
https://rozetka.com.ua/ua/samsung-sm-s926bzageuc/p412989975/,Мобільний телефон Samsung Galaxy S24 Plus 12/512GB Marble Gray (SM-S926BZAGEUC),https://xl-static.rozetka.com.ua/assets/img/design/stubs/goods-stub.svg,43599,4.4,646
https://rozetka.com.ua/ua/realme-c63-6-128gb-blue/p432830354/,Мобільний телефон Realme C63 6/128GB Blue,https://xl-static.rozetka.com.ua/assets/img/design/stubs/goods-stub.svg,5499,5.0,199
https://rozetka.com.ua/ua/infinix-note-40-pro-8-256gb-vintage-green/p424958613/,Мобільний телефон Infinix Note 40 Pro 8/256GB Vintage Green,https://xl-static.rozetka.com.ua/assets/img/design/stubs/goods-stub.svg,10999,4.9,741
https://rozetka.com.ua/ua/infinix-hot-40i-4-128gb-palm-blue/p409669548/,Мобільний телефон Infinix HOT 40i 4/128GB Palm Blue,https://xl-static.rozetka.com.ua/assets/img/design/stubs/goods-stub.svg,4599,4.4,94
https://rozetka.com.ua/ua/realme-note-50-4-128gb-sky-blue/p421984884/,Мобільний телефон Realme Note 50 4/128GB Sky Blue,https://xl-static.rozetka.com.ua/assets/img/design/stubs/goods-stub.svg,4499,4.9,366
https://rozetka.com.ua/ua/samsung-sm-s921bzageuc/p413045109/,Мобільний телефон Samsung Galaxy S24 8/256GB Marble Gray (SM-S921BZAGEUC),https://xl-static.rozetka.com.ua/assets/img/design/stubs/goods-stub.svg,34999,4.6,843
https://rozetka.com.ua/ua/realme-note-50-3-64gb-sky-blue/p421979724/,Мобільний телефон Realme Note 50 3/64GB Sky Blue,https://xl-static.rozetka.com.ua/assets/img/design/stubs/goods-stub.svg,3899,4.9,348
https://rozetka.com.ua/ua/samsung-sm-a256bzbdeuc/p416022795/,Мобільний телефон Samsung Galaxy A25 6GB/128GB Blue (SM-A256BZBDEUC),https://xl-static.rozetka.com.ua/assets/img/design/stubs/goods-stub.svg,9399,4.7,962
